taille_ville,Niveau de traitement,Immunité,% Population infectée,Coût,,,,,,taille_ville,Niveau de traitement,Immunité,% Population infectée,Coût,,,,,,,
4,1,3,0.2063492063,117063,,,,,,0,2,1,0.71875,10270,,,,,,,
4,2,1,0.8306878307,14946,,,,,,0,1,3,0.236328125,77067,,,taille_ville,Niveau de traitement,Immunité,% Population infectée,Coût
4,1,2,0.5701058201,82224,,,,,,0,1,2,0.564453125,54616,,,6,1,3,0.24625,120546
4,1,1,0.9642857143,16890,,,,,,0,2,3,0,8200,,,6,2,1,0.73125,15073
4,2,3,0.0187830688,37171,,,,,,0,3,2,0,11160,,,6,1,2,0.5525,84772
4,2,2,0.3452380952,51928,,,,,,0,3,3,0,12221,,,6,2,3,0,14608
4,3,3,0,14939,,460,,,,0,2,2,0.396484375,34428,,,6,3,2,0,13472
4,3,2,0,14276,,1654,,,,0,1,1,0.93359375,11304,,,6,1,1,0.93125,17672
4,3,1,0.5238095238,17569,,,,,,0,3,1,0.5078125,14263,,,6,3,3,0,15236
,,,,,,,,,,,,,,,,,6,2,2,0.32375,50824
,,,,,,,,,,,,,,,,,6,3,1,0.42625,16798
